Fecha,Cuadrante,Variedad,NumPlanta,AltPlanta_cm,Cant_hojas,GrosorEntrenudos_cm,GE_M1_cm,GE_M2_ cm,GE_M2_cm,
2021-07-04,C1-4,CajeteAmarillo,4,65.0,4,,,,,
2021-07-04,C1-4,CajeteAmarillo,5,39.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,6,45.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,7,48.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,8,65.0,4,,,,,
2021-07-04,C1-4,CajeteAmarillo,9,52.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,10,40.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,11,39.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,12,28.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,13,40.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,14,41.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,15,52.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,16,40.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,17,30.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,18,44.0,3,,,,,
2021-07-04,C1-4,CajeteAmarillo,19,61.0,4,,,,,
2021-07-04,C1-4,CajeteAmarillo,20,50.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,1,56.0,5,,,,,
2021-07-04,T1-1,TemporalAzul,2,32.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,3,15.0,1,,,,,
2021-07-04,T1-1,TemporalAzul,4,27.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,5,39.0,4,,,,,
2021-07-04,T1-1,TemporalAzul,6,22.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,7,20.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,8,20.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,9,24.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,10,17.0,1,,,,,
2021-07-04,T1-1,TemporalAzul,11,23.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,12,16.0,1,,,,,
2021-07-04,T1-1,TemporalAzul,13,25.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,14,36.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,15,28.5,3,,,,,
2021-07-04,T1-1,TemporalAzul,16,19.5,3,,,,,
2021-07-04,T1-1,TemporalAzul,17,13.0,2,,,,,
2021-07-04,T1-1,TemporalAzul,18,23.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,19,15.0,3,,,,,
2021-07-04,T1-1,TemporalAzul,20,19.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,1,22.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,2,13.5,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,3,15.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,4,12.5,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,5,42.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,6,25.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,7,42.0,4,,,,,
2021-07-04,T1-2,CajeteAmarillo,8,22.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,9,25.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,10,19.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,11,25.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,12,16.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,13,10.0,1,,,,,
2021-07-04,T1-2,CajeteAmarillo,14,10.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,15,19.0,2,,,,,
2021-07-04,T1-2,CajeteAmarillo,16,20.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,17,24.0,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,18,18.0,2,,,,,
