Fecha,Cuadrante,Variedad,NoPlanta,ID_Planta,AltPlanta_cm,Cant_hojas,GrosorEntrenudos_cm,GE_M1_cm,GE_M2_ cm,GE_M2_cm
2021-07-22,C1-3,TemporalAzul,13,C1-3-13,96.4,10,2.166666667,2.37,2.2,1.93
2021-07-22,C1-3,TemporalAzul,14,C1-3-14,103.1,9,2.126666667,2.22,2.11,2.05
2021-07-22,C1-3,TemporalAzul,15,C1-3-15,72.7,7,1.743333333,1.74,1.81,1.68
2021-07-22,C1-3,TemporalAzul,16,C1-3-16,80.6,9,1.99,2.03,1.99,1.95
2021-07-22,C1-3,TemporalAzul,17,C1-3-17,124.2,11,2.686666667,2.96,2.71,2.39
2021-07-22,C1-3,TemporalAzul,18,C1-3-18,123.4,9,2.266666667,2.33,2.29,2.18
2021-07-22,C1-3,TemporalAzul,19,C1-3-19,83.7,9,1.913333333,2.04,1.82,1.88
2021-07-22,C1-3,TemporalAzul,20,C1-3-20,90.4,8,2.023333333,2.16,2.05,1.86
2021-07-22,C1-4,CajeteAmarillo,1,C1-4-1,130.2,12,2.336666667,2.62,2.33,2.06
2021-07-22,C1-4,CajeteAmarillo,2,C1-4-2,136.1,11,2.673333333,3.07,2.59,2.36
2021-07-22,C1-4,CajeteAmarillo,3,C1-4-3,101.4,8,2.323333333,2.58,2.34,2.05
2021-07-22,C1-4,CajeteAmarillo,4,C1-4-4,114.8,10,2.466666667,2.73,2.38,2.29
2021-07-22,C1-4,CajeteAmarillo,5,C1-4-5,111.8,12,2.33,2.79,2.32,1.88
2021-07-22,C1-4,CajeteAmarillo,6,C1-4-6,76.8,8,1.793333333,1.89,1.85,1.64
2021-07-22,C1-4,CajeteAmarillo,7,C1-4-7,89.7,10,2.223333333,2.45,2.39,1.83
2021-07-22,C1-4,CajeteAmarillo,8,C1-4-8,98.2,9,2.18,2.4,2.18,1.96
2021-07-22,C1-4,CajeteAmarillo,9,C1-4-9,65.6,7,1.203333333,1.41,1.18,1.02
2021-07-22,C1-4,CajeteAmarillo,10,C1-4-10,76.8,9,1.626666667,1.81,1.71,1.36
2021-07-22,C1-4,CajeteAmarillo,11,C1-4-11,76.3,8,1.53,1.64,1.58,1.37
2021-07-22,C1-4,CajeteAmarillo,12,C1-4-12,62.1,8,1.556666667,1.8,1.64,1.23
2021-07-22,C1-4,CajeteAmarillo,13,C1-4-13,47.6,7,1.446666667,1.76,1.57,1.01
2021-07-22,C1-4,CajeteAmarillo,14,C1-4-14,50.9,6,1.286666667,1.44,1.31,1.11
2021-07-22,C1-4,CajeteAmarillo,15,C1-4-15,54.6,8,1.843333333,2.26,1.9,1.37
2021-07-22,C1-4,CajeteAmarillo,16,C1-4-16,57.2,9,1.556666667,2,1.54,1.13
2021-07-22,C1-4,CajeteAmarillo,17,C1-4-17,87.6,9,1.85,2.25,1.86,1.44
2021-07-22,C1-4,CajeteAmarillo,18,C1-4-18,83.3,9,1.836666667,2.11,1.98,1.42
2021-07-22,C1-4,CajeteAmarillo,19,C1-4-19,71.2,6,1.523333333,1.87,1.41,1.29
2021-07-22,C1-4,CajeteAmarillo,20,C1-4-20,66.6,10,2.003333333,2.27,2.06,1.68
2021-07-22,T1-1,TemporalAzul,1,T1-1-1,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,2,T1-1-2,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,3,T1-1-3,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,4,T1-1-4,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,5,T1-1-5,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,6,T1-1-6,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,7,T1-1-7,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,8,T1-1-8,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,9,T1-1-9,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,10,T1-1-10,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,11,T1-1-11,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,12,T1-1-12,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,13,T1-1-13,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,14,T1-1-14,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,15,T1-1-15,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,16,T1-1-16,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,17,T1-1-17,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,18,T1-1-18,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,19,T1-1-19,,,#¡DIV/0!,,,
2021-07-22,T1-1,TemporalAzul,20,T1-1-20,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,1,T1-2-1,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,2,T1-2-2,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,3,T1-2-3,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,4,T1-2-4,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,5,T1-2-5,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,6,T1-2-6,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,7,T1-2-7,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,8,T1-2-8,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,9,T1-2-9,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,10,T1-2-10,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,11,T1-2-11,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,12,T1-2-12,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,13,T1-2-13,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,14,T1-2-14,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,15,T1-2-15,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,16,T1-2-16,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,17,T1-2-17,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,18,T1-2-18,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,19,T1-2-19,,,#¡DIV/0!,,,
2021-07-22,T1-2,CajeteAmarillo,20,T1-2-20,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,1,T1-3-1,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,2,T1-3-2,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,3,T1-3-3,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,4,T1-3-4,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,5,T1-3-5,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,6,T1-3-6,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,7,T1-3-7,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,8,T1-3-8,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,9,T1-3-9,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,10,T1-3-10,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,11,T1-3-11,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,12,T1-3-12,,,#¡DIV/0!,,,
